Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254912		0.521173		0.522464		0.519881		0.5		0.5		0.5		0.957654
254913		0.514127		0.514991		0.51326		0.5		0.5		0.5		0.971747
254914		0.512387		0.513165		0.511607		0.5		0.5		0.5		0.975227
254915		0.506395		0.506808		0.505981		0.5		0.5		0.5		0.987210
254916		0.533305		0.535484		0.531122		0.5		0.5		0.5		0.933391
254917		0.529165		0.53103		0.527297		0.5		0.5		0.5		0.941670
254918		0.53265		0.534672		0.530624		0.5		0.5		0.5		0.934700
254919		0.532012		0.534254		0.529765		0.5		0.5		0.5		0.935977
254920		0.537366		0.53962		0.535107		0.5		0.5		0.5		0.925269
254921		0.511295		0.51206		0.510529		0.5		0.5		0.5		0.977410
254922		0.563232		0.56696		0.559492		0.5		0.5		0.5		0.873535
254923		0.528882		0.530789		0.526972		0.5		0.5		0.5		0.942236
254925		0.517048		0.518044		0.51605		0.5		0.5		0.5		0.965905
254926		0.507157		0.507573		0.50674		0.5		0.5		0.5		0.985686
254927		0.53318		0.535377		0.530979		0.5		0.5		0.5		0.933641
254928		0.520153		0.521474		0.51883		0.5		0.5		0.5		0.959694
254930		0.529026		0.530946		0.527102		0.5		0.5		0.5		0.941949
254931		0.527458		0.529209		0.525705		0.5		0.5		0.5		0.945083
254933		0.520447		0.521772		0.51912		0.5		0.5		0.5		0.959107
254934		0.521548		0.522931		0.520164		0.5		0.5		0.5		0.956904
254935		0.518413		0.51967		0.517155		0.5		0.5		0.5		0.963174
254936		0.535112		0.537522		0.532697		0.5		0.5		0.5		0.929777
254937		0.522606		0.524076		0.521133		0.5		0.5		0.5		0.954789
254938		0.546069		0.549052		0.54308		0.5		0.5		0.5		0.907861
254940		0.500001		0.500001		0.500001		0.5		0.5		0.5		0.999997
254941		0.523909		0.525385		0.522432		0.5		0.5		0.5		0.952182
254950		0.51513		0.516108		0.514151		0.5		0.5		0.5		0.969740
254951		0.524083		0.525715		0.522449		0.5		0.5		0.5		0.951834
254952		0.533756		0.536108		0.5314		0.5		0.5		0.5		0.932487
254954		0.513162		0.513957		0.512367		0.5		0.5		0.5		0.973676
254955		0.522097		0.523558		0.520634		0.5		0.5		0.5		0.955807
254956		0.513138		0.513944		0.512331		0.5		0.5		0.5		0.973724
254957		0.504488		0.504785		0.504192		0.5		0.5		0.5		0.991023
254960		0.523051		0.524543		0.521558		0.5		0.5		0.5		0.953897
254961		0.541522		0.544634		0.538402		0.5		0.5		0.5		0.916956
254962		0.511699		0.512385		0.511013		0.5		0.5		0.5		0.976602
254963		0.507022		0.507475		0.506568		0.5		0.5		0.5		0.985956
254964		0.532181		0.534241		0.530118		0.5		0.5		0.5		0.935637
254965		0.50936		0.50995		0.508769		0.5		0.5		0.5		0.981281
254966		0.565676		0.569923		0.561411		0.5		0.5		0.5		0.868647
254968		0.518524		0.519801		0.517246		0.5		0.5		0.5		0.962952
254969		0.528268		0.530128		0.526405		0.5		0.5		0.5		0.943464
254970		0.513481		0.514521		0.512424		0.5		0.5		0.5		0.973039
254971		0.522618		0.524148		0.521086		0.5		0.5		0.5		0.954764
254972		0.515229		0.516227		0.514231		0.5		0.5		0.5		0.969541
254973		0.514759		0.515694		0.513823		0.5		0.5		0.5		0.970483
254974		0.541666		0.54448		0.538846		0.5		0.5		0.5		0.916668
254976		0.509412		0.510058		0.508765		0.5		0.5		0.5		0.981177
254977		0.519848		0.521236		0.518458		0.5		0.5		0.5		0.960304
254978		0.523431		0.525		0.52186		0.5		0.5		0.5		0.953138
254985		0.527227		0.528955		0.525497		0.5		0.5		0.5		0.945546
254987		0.513497		0.514536		0.512457		0.5		0.5		0.5		0.973007
254988		0.518151		0.519394		0.516907		0.5		0.5		0.5		0.963698
254989		0.520114		0.521469		0.518757		0.5		0.5		0.5		0.959773
254990		0.522458		0.523994		0.52092		0.5		0.5		0.5		0.955084
254993		0.531811		0.533955		0.529662		0.5		0.5		0.5		0.936379
254994		0.529057		0.530815		0.527297		0.5		0.5		0.5		0.941885
255001		0.531031		0.533356		0.528702		0.5		0.5		0.5		0.937938
255002		0.524957		0.526839		0.523073		0.5		0.5		0.5		0.950086
255003		0.533635		0.535869		0.531397		0.5		0.5		0.5		0.932730
255004		0.512758		0.513606		0.51191		0.5		0.5		0.5		0.974483
255005		0.515328		0.516255		0.514401		0.5		0.5		0.5		0.969343
255006		0.505645		0.505969		0.505321		0.5		0.5		0.5		0.988710
255007		0.521917		0.523198		0.520634		0.5		0.5		0.5		0.956167
255008		0.510077		0.510781		0.509372		0.5		0.5		0.5		0.979846
255009		0.513958		0.514752		0.513164		0.5		0.5		0.5		0.972084
255010		0.540819		0.543477		0.538155		0.5		0.5		0.5		0.918362
255012		0.517504		0.518615		0.516393		0.5		0.5		0.5		0.964991
255013		0.511168		0.511885		0.510452		0.5		0.5		0.5		0.977664
255014		0.512675		0.513553		0.511797		0.5		0.5		0.5		0.974650
255015		0.517015		0.518144		0.515885		0.5		0.5		0.5		0.965970
255017		0.51928		0.520553		0.518006		0.5		0.5		0.5		0.961440
255019		0.511715		0.512417		0.511012		0.5		0.5		0.5		0.976571
255021		0.523917		0.525284		0.522548		0.5		0.5		0.5		0.952167
255022		0.521575		0.522929		0.52022		0.5		0.5		0.5		0.956850
255023		0.510675		0.511313		0.510037		0.5		0.5		0.5		0.978650
255024		0.526339		0.528134		0.524542		0.5		0.5		0.5		0.947321
255025		0.505902		0.506265		0.505538		0.5		0.5		0.5		0.988197
255028		0.533382		0.535595		0.531165		0.5		0.5		0.5		0.933236
255029		0.522208		0.52382		0.520594		0.5		0.5		0.5		0.955585
255031		0.533729		0.535938		0.531517		0.5		0.5		0.5		0.932541
255032		0.532692		0.534707		0.530674		0.5		0.5		0.5		0.934616
255033		0.509367		0.509926		0.508807		0.5		0.5		0.5		0.981267
255034		0.535321		0.537603		0.533034		0.5		0.5		0.5		0.929358
255035		0.505066		0.505457		0.504674		0.5		0.5		0.5		0.989868
255037		0.527594		0.529386		0.525798		0.5		0.5		0.5		0.944813
255039		0.559305		0.563119		0.555476		0.5		0.5		0.5		0.881391
255040		0.522109		0.523459		0.520758		0.5		0.5		0.5		0.955782
255041		0.515657		0.516624		0.514689		0.5		0.5		0.5		0.968686
255043		0.521989		0.523391		0.520585		0.5		0.5		0.5		0.956023
255044		0.524727		0.52634		0.523112		0.5		0.5		0.5		0.950546
255045		0.514481		0.515481		0.513481		0.5		0.5		0.5		0.971037
255046		0.509031		0.509639		0.508422		0.5		0.5		0.5		0.981939
255048		0.517288		0.518371		0.516204		0.5		0.5		0.5		0.965424
