Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
255063		0.333261		0.333301		0.333222		0.317303		0.316302		0.318306		0.964642
255066		0.332843		0.33285		0.332861		0.325947		0.325512		0.326407		0.984797
255067		0.333889		0.33397		0.333808		0.323501		0.322905		0.324099		0.977080
255068		0.333041		0.333063		0.333019		0.311467		0.310226		0.312712		0.952026
255069		0.332919		0.332933		0.332904		0.320903		0.320097		0.321712		0.973431
255071		0.332842		0.33285		0.332835		0.32534		0.324879		0.325802		0.983453
255072		0.333433		0.333471		0.333395		0.330172		0.330018		0.330327		0.992832
255073		0.333306		0.333344		0.333268		0.311643		0.31042		0.312869		0.951840
255074		0.332813		0.332816		0.33281		0.329254		0.329044		0.329464		0.992169
255075		0.332803		0.332805		0.332801		0.330147		0.329979		0.330316		0.994160
255076		0.333582		0.333638		0.333526		0.321211		0.320522		0.321901		0.972661
255077		0.332942		0.332957		0.332927		0.318025		0.317159		0.318893		0.966957
255078		0.33314		0.333163		0.333116		0.328578		0.328314		0.328842		0.989961
255079		0.333248		0.333281		0.333215		0.300891		0.299093		0.302695		0.927590
255081		0.333084		0.333112		0.333057		0.315201		0.314106		0.3163		0.960324
255082		0.33347		0.333515		0.333426		0.329548		0.329345		0.329751		0.991374
255083		0.334365		0.334484		0.334246		0.321033		0.32026		0.321808		0.970550
255084		0.332857		0.332837		0.33285		0.326206		0.325797		0.326589		0.985340
255085		0.333313		0.333358		0.333268		0.303043		0.30111		0.304986		0.932354
255086		0.333727		0.333794		0.33366		0.310001		0.308704		0.311303		0.947218
255087		0.333819		0.33389		0.333747		0.324907		0.324419		0.325396		0.980352
255088		0.335413		0.335624		0.335205		0.288213		0.285447		0.291002		0.893721
255089		0.333736		0.333819		0.333653		0.321303		0.320442		0.322167		0.972529
255090		0.333753		0.333828		0.333678		0.306255		0.304622		0.307895		0.938687
255091		0.333811		0.333901		0.333721		0.307326		0.305465		0.309196		0.940987
